Event,Header,PacketLength,TriggerType,StatusFlags,FlagPileup,FlagPolarity,FlagOffset,FlagCfdValid,HeaderType,TriggerID,ModuleID,ChannelID,SyncDelay,SynceCount,PeakSum,PeakTime,Prerise,IntegratedSum,Baseline,CFDPoint0,CFDPoint1,CFDPoint2,CFDPoint3,IntTimestamp0,IntTimestamp1,IntTimestamp2,IntTimestamp3,WaveformWords,Info.max,Info.min,Info.fracTimestamp,Info.intEnergy,Info.intEnergyB,Info.mean,Info.stdDev,
0,0XAAAAAAAA,1035,0,2,0,1,0,0,0,0,0,6,1073741528,0,16063,-17,528736,280878,5258,-1600,-1915,-2225,-2518,0,49414,45403,233,2046,1623,1197,-48252.828547,16510.000000,17978.000000,1320.013196,47.427264,
1,0XAAAAAAAA,1035,0,2,0,1,0,0,0,0,0,6,1073741528,0,16614,-18,524553,286820,5258,-2248,-2595,-2909,-3122,0,48609,50676,233,2046,1699,1137,-65061.307902,24543.500000,23920.000000,1328.100684,56.700527,
2,0XAAAAAAAA,1035,0,2,0,1,0,0,0,0,0,6,1073741528,0,15980,-16,526250,279428,5258,-1277,-1582,-1887,-2187,0,13197,52614,233,2046,1614,1174,-41405.820977,16303.000000,16528.000000,1324.525904,45.262545,
3,0XAAAAAAAA,1035,0,2,0,1,0,0,0,0,0,6,1073741528,0,16523,-18,527104,286421,5258,-1960,-2282,-2594,-2847,0,51241,53173,233,2046,1677,1165,-57616.324700,22869.000000,23521.000000,1327.902737,55.733594,
4,0XAAAAAAAA,1035,0,2,0,1,0,0,0,0,0,6,1073741528,0,18481,-21,523090,294512,5258,-4346,-4814,-5003,-5066,0,1548,54220,233,2046,1865,1175,-139767.276855,32967.000000,31612.000000,1326.790323,74.116514,
5,0XAAAAAAAA,1035,0,2,0,1,0,0,0,0,0,6,1073741528,0,18886,-20,526916,301970,5248,-5197,-5545,-5589,-5587,0,8707,56364,233,2046,1911,1159,-304239.428885,38512.000000,39570.000000,1336.561584,81.710806,
6,0XAAAAAAAA,1035,0,2,0,1,0,0,0,0,0,6,1073741528,0,17110,-26,523596,288315,5248,-3094,-3542,-3810,-3934,0,64013,56559,233,2046,1771,1180,-89296.987088,26517.000000,25915.000000,1331.832356,60.186365,
7,0XAAAAAAAA,1035,0,2,0,1,0,0,0,0,0,6,1073741528,0,15023,-14,525476,272627,5264,-740,-1087,-1412,-1635,0,28693,62910,233,2046,1586,1179,-30321.151717,9889.000000,9427.000000,1316.665200,38.815311,
8,0XAAAAAAAA,1035,0,2,0,1,0,0,0,0,0,6,1073741528,0,16763,-19,521581,284759,5264,-2784,-3142,-3445,-3622,0,48466,63746,233,2046,1693,1171,-80205.892794,23968.500000,21559.000000,1324.155914,53.685078,
9,0XAAAAAAAA,1035,0,2,0,1,0,0,0,0,0,6,1073741528,0,16800,-19,526731,285176,5264,-2573,-2935,-3233,-3357,0,45736,64533,233,2046,1723,1190,-79421.383648,21810.500000,21976.000000,1320.725806,56.050307,
10,0XAAAAAAAA,1035,0,2,0,1,0,0,0,0,0,6,1073741528,0,15848,-16,530299,278881,5264,-1807,-2178,-2414,-2488,0,47306,220,234,2046,1685,1191,-68325.288869,13731.500000,15681.000000,1324.419844,45.875348,
11,0XAAAAAAAA,1035,0,2,0,1,0,0,0,0,0,6,1073741528,0,18686,-20,523530,297415,5264,-4732,-5211,-5449,-5472,0,26313,3471,234,2046,1883,1169,-144803.363168,35650.000000,34215.000000,1332.904203,78.113908,
12,0XAAAAAAAA,1035,0,2,0,1,0,0,0,0,0,6,1073741528,0,17904,-19,527860,292087,5256,-3398,-3823,-4161,-4265,0,19087,4734,234,2046,1814,1162,-92065.328343,28157.000000,29287.000000,1326.434018,68.804555,
13,0XAAAAAAAA,1035,0,2,0,1,0,0,0,0,0,6,1073741528,0,19998,-20,527626,305986,5256,-6316,-6673,-6737,-6717,0,19558,6162,234,2046,2040,1192,-351176.006314,42173.000000,43186.000000,1336.993646,95.295509,
14,0XAAAAAAAA,1035,0,2,0,1,0,0,0,0,0,6,1073741528,0,14953,-26,525635,277400,5256,-1043,-1390,-1732,-1982,0,63820,9940,234,2046,1575,1184,-35764.482431,14582.500000,14600.000000,1325.761975,39.482361,
15,0XAAAAAAAA,1035,0,2,0,1,0,0,0,0,0,6,1073741528,0,15934,-25,528416,283146,5256,-1987,-2328,-2638,-2869,0,40061,10115,234,2046,1638,1144,-58712.223726,18938.000000,20346.000000,1324.939394,49.354744,
16,0XAAAAAAAA,1035,0,2,0,1,0,0,0,0,0,6,1073741528,0,21745,-21,529683,317973,5263,-7684,-8101,-8135,-8107,0,65344,11425,234,2046,2222,1197,-412990.534664,53131.500000,54823.000000,1343.960899,117.303820,
17,0XAAAAAAAA,1035,0,2,0,1,0,0,0,0,0,6,1073741528,0,16111,-15,525595,280687,5263,-1021,-1424,-1713,-1880,0,45962,16827,234,2046,1673,1179,-38446.150268,17889.500000,17537.000000,1323.969208,47.059087,
